name,cn,attach
Enf-Gulli,http://iptv.ndasat.com:88/live///289.ts,French
Enf-MANGA HD,http://iptv.ndasat.com:88/live///490.ts,French
Enf-NICK HD,http://iptv.ndasat.com:88/live///1029.ts,French
Enf-Nick Jr,http://iptv.ndasat.com:88/live///1483.ts,French
Enf-Nickelodeon 4 Teen,http://iptv.atlasiptv.net:88/live///5056.ts,French
Enf-Piwi,http://iptv.ndasat.com:88/live///1023.ts,French
Enf-Teletoon,http://iptv.ndasat.com:88/live///489.ts,French
Enf-Tiji,http://iptv.ndasat.com:88/live///1482.ts,French
Equidia Life,http://iptv.ndasat.com:88/live///1532.ts,French
equidia live,http://iptv.ndasat.com:88/live///1409.ts,French
Equipe 21,http://iptv.ndasat.com:88/live///580.ts,French
Eurosport,http://iptv.ndasat.com:88/live///572.ts,French
Eurosport 2,http://iptv.ndasat.com:88/live///287.ts,French
Foot 24,http://iptv.ndasat.com:88/live///975.ts,French
France O,http://iptv.ndasat.com:88/live///304.ts,French
France24,http://iptv.ndasat.com:88/live///303.ts,French
Game one,http://iptv.ndasat.com:88/live///1524.ts,French
GOLF + HD,http://iptv.ndasat.com:88/live///1372.ts,French
Inf: BFM Business,http://iptv.ndasat.com:88/live///1486.ts,French
Inf: BFM TV,http://iptv.ndasat.com:88/live///283.ts,French
Inf: C News,http://iptv.ndasat.com:88/live///471.ts,French
Inf: LCI,http://iptv.ndasat.com:88/live///3625.ts,French
Inf:Euronews,http://iptv.ndasat.com:88/live///3616.ts,French
Inf:France Info,http://iptv.atlasiptv.net:88/live///3688.ts,French
InfoSport,http://iptv.ndasat.com:88/live///500.ts,French
J-ONE,http://iptv.ndasat.com:88/live///3673.ts,French
LCP,http://iptv.ndasat.com:88/live///1414.ts,French
M6 Music,http://iptv.ndasat.com:88/live///3675.ts,French
MTV Dance,http://iptv.ndasat.com:88/live///2166.ts,French
MTV HD,http://iptv.ndasat.com:88/live///1030.ts,French
MTV Hits,http://iptv.ndasat.com:88/live///2167.ts,French
NRJ12,http://iptv.ndasat.com:88/live///285.ts,French
Numero 23,http://iptv.ndasat.com:88/live///1533.ts,French
OCS-CHOC,http://iptv.ndasat.com:88/live///1017.ts,French
OCS-CITY,http://iptv.ndasat.com:88/live///1019.ts,French
OCS-GEANT,http://iptv.ndasat.com:88/live///1016.ts,French
OCS-MAX,http://iptv.ndasat.com:88/live///1018.ts,French
paramount channel,http://iptv.ndasat.com:88/live///1410.ts,French
paris premiere,http://iptv.ndasat.com:88/live///1411.ts,French
PPV-CanalPlay01,http://iptv.ndasat.com:88/live///884.ts,French
PPV-CanalPlay02,http://iptv.ndasat.com:88/live///885.ts,French
PPV-CanalPlay03,http://iptv.ndasat.com:88/live///886.ts,French
PPV-CanalPlay04,http://iptv.ndasat.com:88/live///887.ts,French
PPV-CanalPlay05,http://iptv.ndasat.com:88/live///888.ts,French
PPV-CanalPlay06,http://iptv.ndasat.com:88/live///889.ts,French
PPV-CanalPlay07,http://iptv.ndasat.com:88/live///890.ts,French
PPV-CanalPlay08,http://iptv.ndasat.com:88/live///891.ts,French
PPV-CanalPlay09,http://iptv.ndasat.com:88/live///892.ts,French
PPV-CanalPlay10,http://iptv.ndasat.com:88/live///893.ts,French
RTL9 HD,http://iptv.ndasat.com:88/live///495.ts,French
RTS DEUX,http://iptv.ndasat.com:88/live///571.ts,French
RTS UN,http://iptv.ndasat.com:88/live///570.ts,French
Ser: 13 Rue,http://iptv.ndasat.com:88/live///482.ts,French
Ser: AB1,http://iptv.ndasat.com:88/live///1526.ts,French
SERIE CLUB,http://iptv.ndasat.com:88/live///497.ts,French
SFR Sport1,http://iptv.ndasat.com:88/live///1554.ts,French
SFR Sport2,http://iptv.ndasat.com:88/live///1555.ts,French
SFR Sport3,http://iptv.ndasat.com:88/live///1556.ts,French
SFR Sport5,http://iptv.ndasat.com:88/live///1612.ts,French
Syfy HD,http://iptv.ndasat.com:88/live///292.ts,French
TCM Cinema,http://iptv.ndasat.com:88/live///1530.ts,French
Teva HD,http://iptv.ndasat.com:88/live///286.ts,French
TMC,http://iptv.ndasat.com:88/live///293.ts,French
Toonami,http://iptv.ndasat.com:88/live///3670.ts,French
Trek,http://iptv.ndasat.com:88/live///1529.ts,French
TV BREIZH,http://iptv.ndasat.com:88/live///976.ts,French
TV5 monde Europe,http://iptv.ndasat.com:88/live///1528.ts,French
Viceland,http://iptv.ndasat.com:88/live///2168.ts,French
2M Maroc,http://iptv.ndasat.com:88/live///1069.ts,Marocco
AFLAM 7,http://iptv.ndasat.com:88/live///4167.ts,Marocco
Al AoulaHD,http://iptv.ndasat.com:88/live///453.ts,Marocco
Al AoulaLaayoun,http://iptv.ndasat.com:88/live///719.ts,Marocco
Al Maghribia,http://iptv.ndasat.com:88/live///452.ts,Marocco
Arrabiaa,http://iptv.ndasat.com:88/live///458.ts,Marocco
Arriadhia,http://iptv.ndasat.com:88/live///457.ts,Marocco
Arriadia Live,http://iptv.ndasat.com:88/live///867.ts,Marocco
Assadissa,http://iptv.ndasat.com:88/live///456.ts,Marocco
Chada TV,http://iptv.ndasat.com:88/live///996.ts,Marocco
GM Afro Hits,http://iptv.ndasat.com:88/live///4159.ts,Marocco
GM Alwan,http://iptv.ndasat.com:88/live///4166.ts,Marocco
GM Cartoon,http://iptv.ndasat.com:88/live///4163.ts,Marocco
GM Comedia,http://iptv.ndasat.com:88/live///4168.ts,Marocco
GM Movies,http://iptv.ndasat.com:88/live///4158.ts,Marocco
GM Music,http://iptv.ndasat.com:88/live///4164.ts,Marocco
GM News,http://iptv.ndasat.com:88/live///2160.ts,Marocco
GM Rap Arabi,http://iptv.ndasat.com:88/live///4165.ts,Marocco
GM Shaabi,http://iptv.ndasat.com:88/live///4160.ts,Marocco
GM Sport,http://iptv.ndasat.com:88/live///4161.ts,Marocco
GM Techno,http://iptv.atlasiptv.net:88/live///3384.ts,Marocco
Medi 1,http://iptv.ndasat.com:88/live///451.ts,Marocco
TAMAZIGHT,http://iptv.ndasat.com:88/live///579.ts,Marocco
Tele Maroc,http://iptv.ndasat.com:88/live///3611.ts,Marocco
ART Aflam1,http://iptv.ndasat.com:88/live///234.ts,Arabic Vip 
ART Aflam2,http://iptv.ndasat.com:88/live///235.ts,Arabic Vip 
ART Cinema,http://iptv.ndasat.com:88/live///236.ts,Arabic Vip 
ART Hekayat1,http://iptv.ndasat.com:88/live///641.ts,Arabic Vip 
ART Hekayat2,http://iptv.ndasat.com:88/live///640.ts,Arabic Vip 
Bein AMC,http://iptv.ndasat.com:88/live///3956.ts,Arabic Vip 
Bein Dmax,http://iptv.ndasat.com:88/live///3957.ts,Arabic Vip 
Bein Drama 1,http://iptv.ndasat.com:88/live///3603.ts,Arabic Vip 
Bein DTX,http://iptv.atlasiptv.net:88/live///3958.ts,Arabic Vip 
Bein HGTV,http://iptv.ndasat.com:88/live///1463.ts,Arabic Vip 
Bein Series 1,http://iptv.ndasat.com:88/live///2590.ts,Arabic Vip 
